title,year,rated,released,runtime,genre,director,writer,actors,plot,language,country,awards,poster,ratings,metascore,imdbrating,imdbvotes,imdbid,type,dvd,boxoffice,production,website,response,directorid,actorid,budget,num_directors,num_actors,actor_rev5,actor_rev10,director_films5,actor_films5,actor_films10,director_rev10,director_films10,director_rev5
Compadres,2016,R,2016-03-31,101,Action,Enrique Begné,"Ted Perkins, Gabriel Ripstein, Enrique Begné","Omar Chaparro, Joey Morgan, Eric Roberts","As former cop Garza seeks revenge on Santos, the crime lord who framed him, he forms an unlikely team with a young hacker who successfully stole $10 million from Santos.","English, Spanish",Mexico,2 nominations,https://m.media-amazon.com/images/M/MV5BMjMwNDkzOTU5N15BMl5BanBnXkFtZTgwMjA3MjgyODE@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '4.8/10'}",28.0,4.8,"1,114",tt3367294,movie,06 Sep 2016,3127773,,,True,['nm1761722'],"['nm1410318', 'nm6368720', 'nm0000616']",3000000.0,1,3,9546007,9546007,0,2,2,0,0,0
The Other Side of the Door,2016,R,2016-03-04,96,Horror,Johannes Roberts,"Johannes Roberts, Ernest Riera","Sarah Wayne Callies, Jeremy Sisto, Sofia Rosinsky","After her young son is killed in a tragic accident, a woman learns of a ritual which will bring him back to say goodbye, but when she disobeys a sacred warning, she upsets the balance between life and death.","English, Hindi, Sanskrit","United Kingdom, India, United States",2 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BMjE2MTk4NzkzOF5BMl5BanBnXkFtZTgwNjk3OTAyODE@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.3/10'}",41.0,5.3,"18,811",tt3702652,movie,13 Nov 2016,3000342,,,True,['nm1266897'],"['nm0915637', 'nm0005438', 'nm5025909']",,1,3,47615959,66690759,0,1,2,0,0,0
Star Wars: Episode VIII - The Last Jedi,2017,PG-13,2017-12-15,152,Action,Rian Johnson,"Rian Johnson, George Lucas","Daisy Ridley, John Boyega, Mark Hamill","The Star Wars saga continues as new heroes and galactic legends go on an epic adventure, unlocking mysteries of the Force and shocking revelations of the past.",English,United States,Nominated for 4 Oscars. 25 wins & 98 nominations total,https://m.media-amazon.com/images/M/MV5BMjQ1MzcxNjg4N15BMl5BanBnXkFtZTgwNzgwMjY4MzI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.9/10'}",84.0,6.9,"655,231",tt2527336,movie,11 Mar 2018,620181382,,,True,['nm0426059'],"['nm5397459', 'nm3915784', 'nm0000434']",317000000.0,1,3,1914387433,1914387433,0,5,5,70017961,2,0
Beauty and the Beast,2017,PG,2017-03-17,129,Adventure,Bill Condon,"Stephen Chbosky, Evan Spiliotopoulos, Linda Woolverton","Emma Watson, Dan Stevens, Luke Evans","A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.",English,United States,Nominated for 2 Oscars. 15 wins & 76 nominations total,https://m.media-amazon.com/images/M/MV5BMTUwNjUxMTM4NV5BMl5BanBnXkFtZTgwODExMDQzMTI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.1/10'}",65.0,7.1,"324,015",tt2771200,movie,06 Jun 2017,504481165,,,True,['nm0174374'],"['nm0914612', 'nm1405398', 'nm1812656']",160000000.0,1,3,122184907,1446161752,3,5,11,594604524,4,313317391
Wonder Woman,2017,PG-13,2017-06-02,141,Action,Patty Jenkins,"Allan Heinberg, Zack Snyder, Jason Fuchs","Gal Gadot, Chris Pine, Robin Wright","When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.","English, German, Dutch, Flemish, French, Spanish, Chinese, Greek, Ancient (to 1453), North American Indian","United States, China",37 wins & 72 nominations,https://m.media-amazon.com/images/M/MV5BMTYzODQzYjQtNTczNC00MzZhLTg1ZWYtZDUxYmQ3ZTY4NzA1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.4/10'}",76.0,7.4,"683,107",tt0451279,movie,10 Jul 2017,412845172,,,True,['nm0420941'],"['nm2933757', 'nm1517976', 'nm0000705']",149000000.0,1,3,647927661,1133203716,0,8,14,0,0,0
Guardians of the Galaxy Vol. 2,2017,PG-13,2017-05-05,136,Action,James Gunn,"James Gunn, Dan Abnett, Andy Lanning","Chris Pratt, Zoe Saldana, Dave Bautista","The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father, the ambitious celestial being Ego.",English,United States,Nominated for 1 Oscar. 15 wins & 60 nominations total,https://m.media-amazon.com/images/M/MV5BNjM0NTc0NzItM2FlYS00YzEwLWE0YmUtNTA2ZWIzODc2OTgxXkEyXkFqcGdeQXVyNTgwNzIyNzg@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.6/10'}",67.0,7.6,"732,300",tt3896198,movie,10 Jul 2017,389813101,,,True,['nm0348181'],"['nm0695435', 'nm0757855', 'nm1176985']",200000000.0,1,3,1855184576,2729499039,1,10,14,333718600,1,333718600
Spider-Man: Homecoming,2017,PG-13,2017-07-07,133,Action,Jon Watts,"Jonathan Goldstein, John Francis Daley, Jon Watts","Tom Holland, Michael Keaton, Robert Downey Jr.","Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.","English, Spanish",United States,7 wins & 10 nominations,https://m.media-amazon.com/images/M/MV5BNTk4ODQ1MzgzNl5BMl5BanBnXkFtZTgwMTMyMzM4MTI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.4/10'}",73.0,7.4,"694,384",tt2250912,movie,10 Jul 2017,334201140,,,True,['nm1218281'],"['nm4043618', 'nm0000474', 'nm0000375']",175000000.0,1,3,1868502688,3772311384,0,11,21,0,0,0
It,2017,R,2017-09-08,135,Horror,Andy Muschietti,"Chase Palmer, Cary Joji Fukunaga, Gary Dauberman","Bill Skarsgård, Jaeden Martell, Finn Wolfhard","In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.","English, Hebrew","United States, Canada",10 wins & 46 nominations,https://m.media-amazon.com/images/M/MV5BZDVkZmI0YzAtNzdjYi00ZjhhLWE1ODEtMWMzMWMzNDA0NmQ4XkEyXkFqcGdeQXVyNzYzODM3Mzg@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.3/10'}",69.0,7.3,"580,590",tt1396484,movie,19 Dec 2017,328874981,,,True,['nm0615592'],"['nm0803889', 'nm5897057', 'nm6016511']",35000000.0,1,3,4504974,4504974,1,1,1,71628180,1,71628180
Thor: Ragnarok,2017,PG-13,2017-11-03,130,Action,Taika Waititi,"Eric Pearson, Craig Kyle, Christopher L. Yost","Chris Hemsworth, Tom Hiddleston, Cate Blanchett","Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",English,United States,6 wins & 49 nominations,https://m.media-amazon.com/images/M/MV5BMjMyNDkzMzI1OF5BMl5BanBnXkFtZTgwODcxODg5MjI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.9/10'}",74.0,7.9,"790,294",tt3501632,movie,17 Feb 2018,315058289,,,True,['nm0169806'],"['nm1165110', 'nm1089991', 'nm0000949']",180000000.0,1,3,1199505763,2183824810,2,15,23,8674692,2,8674692
Despicable Me 3,2017,PG,2017-06-30,89,Animation,"Kyle Balda, Pierre Coffin, Eric Guillon","Cinco Paul, Ken Daurio","Steve Carell, Kristen Wiig, Trey Parker","Gru meets his long-lost, charming, cheerful, and more successful twin brother Dru, who wants to team up with him for one last criminal heist.",English,"United States, France",33 nominations,https://m.media-amazon.com/images/M/MV5BNjUyNzQ2MTg3Ml5BMl5BanBnXkFtZTgwNzE4NDM3MTI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.2/10'}",49.0,6.2,"145,880",tt3469046,movie,10 Jul 2017,264624300,,,True,"['nm0049633', 'nm1853544', 'nm3210494']","['nm0136797', 'nm1325419', 'nm0005295']",80000000.0,3,3,1539483824,2588228328,3,15,27,1506088410,5,1040156925
Logan,2017,R,2017-03-03,137,Action,James Mangold,"James Mangold, Scott Frank, Michael Green","Hugh Jackman, Patrick Stewart, Dafne Keen","In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.","English, Spanish",United States,Nominated for 1 Oscar. 28 wins & 80 nominations total,https://m.media-amazon.com/images/M/MV5BYzc5MTU4N2EtYTkyMi00NjdhLTg3NWEtMTY4OTEyMzJhZTAzXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '8.1/10'}",77.0,8.1,"802,577",tt3315342,movie,16 May 2017,226277068,,,True,['nm0003506'],"['nm0413168', 'nm0001772', 'nm6748436']",97000000.0,1,3,996071727,1417165321,1,9,16,262586803,3,132556852
The Fate of the Furious,2017,PG-13,2017-04-14,136,Action,F. Gary Gray,"Gary Scott Thompson, Chris Morgan","Vin Diesel, Jason Statham, Dwayne Johnson","When a mysterious woman seduces Dominic Toretto into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before.","English, Russian, Spanish","China, Japan, United States",2 wins & 14 nominations,https://m.media-amazon.com/images/M/MV5BMjMxODI2NDM5Nl5BMl5BanBnXkFtZTgwNjgzOTk1MTI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.6/10'}",56.0,6.6,"246,488",tt4630562,movie,27 Jun 2017,226008385,,,True,['nm0336620'],"['nm0004874', 'nm0005458', 'nm0425005']",250000000.0,1,3,2566248288,3847038411,1,20,39,234555512,2,161197785
Justice League,2017,PG-13,2017-11-17,120,Action,Zack Snyder,"Jerry Siegel, Joe Shuster, Chris Terrio","Ben Affleck, Gal Gadot, Jason Momoa","Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his new-found ally, Diana Prince, to face an even greater enemy.","English, Irish Gaelic, Russian, Icelandic","United States, Canada, United Kingdom",2 wins & 13 nominations,https://m.media-amazon.com/images/M/MV5BYWVhZjZkYTItOGIwYS00NmRkLWJlYjctMWM0ZjFmMDU4ZjEzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.1/10'}",45.0,6.1,"468,835",tt0974015,movie,13 Feb 2018,229024295,,,True,['nm0811583'],"['nm0000255', 'nm2933757', 'nm0597388']",300000000.0,1,3,1051126326,1352915497,2,8,14,820983326,5,621405712
Dunkirk,2017,PG-13,2017-07-21,106,Action,Christopher Nolan,Christopher Nolan,"Fionn Whitehead, Barry Keoghan, Mark Rylance","Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.","English, French, German","United Kingdom, Netherlands, France, United States",Won 3 Oscars. 65 wins & 233 nominations total,https://m.media-amazon.com/images/M/MV5BN2YyZjQ0NTEtNzU5MS00NGZkLTg0MTEtYzJmMWY3MWRhZjM2XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.8/10'}",94.0,7.8,"710,090",tt5013056,movie,12 Dec 2017,189740665,,,True,['nm0634240'],"['nm7887725', 'nm4422686', 'nm0753314']",100000000.0,1,3,127797524,127797524,1,2,2,1463744007,4,188020017
Coco,2017,PG,2017-11-22,105,Animation,"Lee Unkrich, Adrian Molina","Lee Unkrich, Jason Katz, Matthew Aldrich","Anthony Gonzalez, Gael García Bernal, Benjamin Bratt","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","English, Spanish","United States, Japan",Won 2 Oscars. 109 wins & 40 nominations total,https://m.media-amazon.com/images/M/MV5BYjQ5NjM0Y2YtNjZkNC00ZDhkLWJjMWItN2QyNzFkMDE3ZjAxXkEyXkFqcGdeQXVyODIxMzk5NjA@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '8.4/10'}",81.0,8.4,"551,993",tt2380307,movie,13 Feb 2018,210460015,,,True,"['nm0881279', 'nm2937122']","['nm5645519', 'nm0305558', 'nm0000973']",175000000.0,2,3,371194326,432479926,0,2,5,415004880,1,0
The Lego Batman Movie,2017,PG,2017-02-10,104,Animation,Chris McKay,"Seth Grahame-Smith, Chris McKenna, Erik Sommers","Will Arnett, Michael Cera, Rosario Dawson","A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick.",English,"United States, Denmark, Australia",13 wins & 68 nominations,https://m.media-amazon.com/images/M/MV5BMTcyNTEyOTY0M15BMl5BanBnXkFtZTgwOTAyNzU3MDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.3/10'}",75.0,7.3,"165,467",tt4116284,movie,19 May 2017,175936671,,,True,['nm0003021'],"['nm0004715', 'nm0148418', 'nm0206257']",80000000.0,1,3,390312639,1231411800,0,7,18,0,0,0
Get Out,2017,R,2017-02-24,104,Horror,Jordan Peele,Jordan Peele,"Daniel Kaluuya, Allison Williams, Bradley Whitford","A young African-American visits his White girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.","English, Swahili","United States, Japan",Won 1 Oscar. 152 wins & 207 nominations total,https://m.media-amazon.com/images/M/MV5BMjUxMDQwNjcyNl5BMl5BanBnXkFtZTgwNzcwMzc0MTI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.8/10'}",85.0,7.8,"654,642",tt5052448,movie,09 May 2017,176196665,"Universal Pictures, QC Entertainment, Blumhouse Productions",,True,['nm1443502'],"['nm2257207', 'nm4129745', 'nm0925966']",4500000.0,1,3,0,0,0,0,0,0,0,0
The Boss Baby,2017,PG,2017-03-31,97,Animation,Tom McGrath,"Michael McCullers, Marla Frazee","Alec Baldwin, Steve Buscemi, Jimmy Kimmel","A suit-wearing, briefcase-carrying baby pairs up with his 7-year old brother to stop the dastardly plot of the CEO of Puppy Co.","English, Spanish",United States,Nominated for 1 Oscar. 4 wins & 21 nominations total,https://m.media-amazon.com/images/M/MV5BMTg5MzUxNzgxNV5BMl5BanBnXkFtZTgwMTM2NzQ3MjI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.3/10'}",50.0,6.3,"135,959",tt3874544,movie,04 Jul 2017,175003033,,,True,['nm0569891'],"['nm0000285', 'nm0000114', 'nm0453994']",125000000.0,1,3,481145729,662609936,1,6,9,544818285,3,216391482
Pirates of the Caribbean: Dead Men Tell No Tales,2017,PG-13,2017-05-26,129,Action,"Joachim Rønning, Espen Sandberg","Jeff Nathanson, Terry Rossio, Ted Elliott","Johnny Depp, Geoffrey Rush, Javier Bardem",Captain Jack Sparrow is pursued by old rival Captain Salazar and a crew of deadly ghosts who have escaped from the Devil's Triangle. They're determined to kill every pirate at sea...notably Jack.,"English, Spanish","United States, Australia, United Kingdom, Canada",1 win & 13 nominations,https://m.media-amazon.com/images/M/MV5BMTYyMTcxNzc5M15BMl5BanBnXkFtZTgwOTg2ODE2MTI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.5/10'}",39.0,6.5,"331,486",tt1790809,movie,10 Jul 2017,172558876,,,True,"['nm1461392', 'nm1650283']","['nm0000136', 'nm0001691', 'nm0000849']",230000000.0,2,3,585486375,1938720587,0,7,22,0,0,0
Jumanji: Welcome to the Jungle,2017,PG-13,2017-12-20,119,Action,Jake Kasdan,"Chris McKenna, Erik Sommers, Scott Rosenberg","Dwayne Johnson, Karen Gillan, Kevin Hart","Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.",English,United States,5 wins & 15 nominations,https://m.media-amazon.com/images/M/MV5BODQ0NDhjYWItYTMxZi00NTk2LWIzNDEtOWZiYWYxZjc2MTgxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.9/10'}",58.0,6.9,"404,424",tt2283362,movie,03 Mar 2018,404540171,,,True,['nm0440458'],"['nm0425005', 'nm2394794', 'nm0366389']",90000000.0,1,3,2843289716,3448897710,1,23,31,157153480,3,38543473
Kong: Skull Island,2017,PG-13,2017-03-10,118,Action,Jordan Vogt-Roberts,"Dan Gilroy, Max Borenstein, Derek Connolly","Tom Hiddleston, Samuel L. Jackson, Brie Larson","After the Vietnam war, a team of scientists explores an uncharted island in the Pacific, venturing into the domain of the mighty Kong and must fight to escape a primal Eden.","English, Vietnamese","United States, China",Nominated for 1 Oscar. 1 win & 20 nominations total,https://m.media-amazon.com/images/M/MV5BMWUxNjZiNTAtZmMwMi00MmYxLTkxZGEtZWE1MzU0OWFjOTNhXkEyXkFqcGdeQXVyNzk1MzI3MTI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.7/10'}",62.0,6.7,"334,909",tt3731562,movie,05 Jun 2017,168052812,,,True,['nm3611349'],"['nm1089991', 'nm0000168', 'nm0488953']",185000000.0,1,3,901048937,1316442030,0,10,17,0,0,0
Hidden Figures,2016,PG,2017-01-06,127,Biography,Theodore Melfi,"Allison Schroeder, Theodore Melfi, Margot Lee Shetterly","Taraji P. Henson, Octavia Spencer, Janelle Monáe",The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,English,United States,Nominated for 3 Oscars. 37 wins & 94 nominations total,https://m.media-amazon.com/images/M/MV5BMzg2Mzg4YmUtNDdkNy00NWY1LWE3NmEtZWMwNGNlMzE5YzU3XkEyXkFqcGdeQXVyMjA5MTIzMjQ@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.8/10'}",74.0,7.8,"245,399",tt4846340,movie,28 Mar 2017,169607287,,,True,['nm0577647'],"['nm0378245', 'nm0818055', 'nm1847117']",25000000.0,1,3,97922596,506528989,1,4,8,44137712,1,44137712
Cars 3,2017,G,2017-06-16,102,Animation,Brian Fee,"Brian Fee, Ben Queen, Eyal Podell","Owen Wilson, Cristela Alonzo, Chris Cooper",Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.,English,"United States, Japan",3 wins & 24 nominations,https://m.media-amazon.com/images/M/MV5BMTc0NzU2OTYyN15BMl5BanBnXkFtZTgwMTkwOTg2MTI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.7/10'}",59.0,6.7,"113,025",tt3606752,movie,10 Jul 2017,152901115,,,True,['nm0270263'],"['nm0005562', 'nm2242399', 'nm0177933']",175000000.0,1,3,295786427,1165949726,0,7,20,0,0,0
War for the Planet of the Apes,2017,PG-13,2017-07-14,140,Action,Matt Reeves,"Mark Bomback, Matt Reeves, Rick Jaffa","Andy Serkis, Woody Harrelson, Steve Zahn","After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind.","English, American Sign ",United States,Nominated for 1 Oscar. 28 wins & 65 nominations total,https://m.media-amazon.com/images/M/MV5BNDNmYTQzMDEtMmY0MS00OTNjLTk4MjItMDZhMzkzOGI3MzA0XkEyXkFqcGdeQXVyNjk5NDA3OTk@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.4/10'}",82.0,7.4,"271,017",tt3450958,movie,01 Apr 2019,146880162,,,True,['nm0716257'],"['nm0785227', 'nm0000437', 'nm0001872']",150000000.0,1,3,344395658,822654071,1,4,13,300728957,3,208545589
Split,2016,PG-13,2017-01-20,117,Horror,M. Night Shyamalan,M. Night Shyamalan,"James McAvoy, Anya Taylor-Joy, Haley Lu Richardson",Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.,English,"United States, Japan",10 wins & 26 nominations,https://m.media-amazon.com/images/M/MV5BZTJiNGM2NjItNDRiYy00ZjY0LTgwNTItZDBmZGRlODQ4YThkL2ltYWdlXkEyXkFqcGdeQXVyMjY5ODI4NDk@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.3/10'}",63.0,7.3,"526,718",tt4972582,movie,05 Apr 2017,138291365,,,True,['nm0796117'],"['nm0564215', 'nm5896355', 'nm4726634']",9000000.0,1,3,207031897,732144972,2,6,15,322007263,4,125728202
Transformers: The Last Knight,2017,PG-13,2017-06-21,154,Action,Michael Bay,"Art Marcum, Matt Holloway, Ken Nolan","Mark Wahlberg, Anthony Hopkins, Josh Duhamel","A deadly threat from Earth's history reappears and a hunt for a lost artifact takes place between Autobots and Decepticons, while Optimus Prime encounters his creator in space.",English,"United States, China, Canada",3 wins & 20 nominations,https://m.media-amazon.com/images/M/MV5BN2YwOWM4ODgtZTMzMi00ZmFmLTk5NTEtNmY4ZDcwNzQxNDhjXkEyXkFqcGdeQXVyNTI0NzAyNjY@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.2/10'}",27.0,5.2,"163,593",tt3371366,movie,10 Jul 2017,130168683,,,True,['nm0000881'],"['nm0000242', 'nm0000164', 'nm0241049']",217000000.0,1,3,1271931322,2914600951,3,14,30,1421916192,6,348167586
Wonder,2017,PG,2017-11-17,113,Drama,Stephen Chbosky,"Stephen Chbosky, Steve Conrad, Jack Thorne","Jacob Tremblay, Owen Wilson, Izabela Vidovic","Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the...",English,"United States, Hong Kong, Canada",Nominated for 1 Oscar. 5 wins & 29 nominations total,https://m.media-amazon.com/images/M/MV5BYjFhOWY0OTgtNDkzMC00YWJkLTk1NGEtYWUxNjhmMmQ5ZjYyXkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.9/10'}",66.0,7.9,"173,015",tt2543472,movie,30 Jan 2018,132422809,,,True,['nm0154716'],"['nm5016878', 'nm0005562', 'nm4207679']",20000000.0,1,3,474770505,1192421802,0,11,20,17742948,1,0
Girls Trip,2017,R,2017-07-21,122,Adventure,Malcolm D. Lee,"Erica Rivinoja, Kenya Barris, Tracy Oliver","Regina Hall, Queen Latifah, Jada Pinkett Smith","When four lifelong friends travel to New Orleans for the annual Essence Festival, sisterhoods are rekindled, wild sides are rediscovered, and there's enough dancing, drinking, brawling and romancing to make the Big Easy blush.",English,"United States, Canada, China",13 wins & 42 nominations,https://m.media-amazon.com/images/M/MV5BMjMwNTEzODUwMV5BMl5BanBnXkFtZTgwNjE5NjA5MjI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.2/10'}",71.0,6.2,"39,483",tt3564472,movie,28 Sep 2017,115171585,,,True,['nm0002700'],"['nm0356021', 'nm0001451', 'nm0000586']",19000000.0,1,3,132444248,465559992,3,3,9,211118851,5,156599943
Fifty Shades Darker,2017,R,2017-02-10,118,Drama,James Foley,"Niall Leonard, E.L. James","Dakota Johnson, Jamie Dornan, Eric Johnson","While Christian wrestles with his inner demons, Anastasia must confront the anger and envy of the women who came before her.",English,"United States, China, Japan",3 wins & 13 nominations,https://m.media-amazon.com/images/M/MV5BMTQ5NTk0Njg2N15BMl5BanBnXkFtZTgwNzk5Nzk3MDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '4.6/10'}",33.0,4.6,"107,842",tt4465564,movie,25 Apr 2017,114581250,,,True,['nm0001226'],"['nm0424848', 'nm1946193', 'nm0425053']",55000000.0,1,3,441753651,441753651,0,4,4,23984949,1,0
Baby Driver,2017,R,2017-06-28,113,Action,Edgar Wright,Edgar Wright,"Ansel Elgort, Jon Bernthal, Jon Hamm","After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.","English, American Sign ","United Kingdom, United States",Nominated for 3 Oscars. 43 wins & 66 nominations total,https://m.media-amazon.com/images/M/MV5BMjM3MjQ1MzkxNl5BMl5BanBnXkFtZTgwODk1ODgyMjI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.6/10'}",86.0,7.6,"580,474",tt3890160,movie,10 Jul 2017,107825862,,,True,['nm0942367'],"['nm5052065', 'nm1256532', 'nm0358316']",34000000.0,1,3,685389707,777575969,1,6,7,59286541,2,26004851
Annabelle: Creation,2017,R,2017-08-11,109,Horror,David F. Sandberg,Gary Dauberman,"Anthony LaPaglia, Samara Lee, Miranda Otto","Twelve years after the tragic death of their little girl, a doll-maker and his wife welcome a nun and several girls from a shuttered orphanage into their home, where they become the target of the doll-maker's possessed creation, A...","English, Spanish",United States,1 win & 8 nominations,https://m.media-amazon.com/images/M/MV5BMjA1MzIwMjMxNF5BMl5BanBnXkFtZTgwMDQ3NTc2MjI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.5/10'}",62.0,6.5,"144,307",tt5140878,movie,01 Sep 2017,102092201,,,True,['nm2497546'],"['nm0001439', 'nm5343317', 'nm0001584']",15000000.0,1,3,19075290,19075290,1,1,1,67268835,1,67268835
Daddy's Home 2,2017,PG-13,2017-11-10,100,Comedy,Sean Anders,"Sean Anders, John Morris, Brian Burns","Will Ferrell, Mark Wahlberg, Mel Gibson","Having finally gotten used to each other's existence, Brad and Dusty must now deal with their intrusive fathers during the holidays.","English, Spanish",United States,1 win & 8 nominations,https://m.media-amazon.com/images/M/MV5BNDA4Nzc1OTg2OV5BMl5BanBnXkFtZTgwODE3ODgwNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.0/10'}",30.0,6.0,"78,987",tt5657846,movie,06 Feb 2018,104029443,,,True,['nm1890845'],"['nm0002071', 'nm0000242', 'nm0000154']",69000000.0,1,3,1664406761,3000474592,2,17,34,250136068,4,204802494
Murder on the Orient Express,2017,PG-13,2017-11-10,114,Crime,Kenneth Branagh,"Michael Green, Agatha Christie","Kenneth Branagh, Penélope Cruz, Willem Dafoe","When a murder occurs on the train on which he's travelling, celebrated detective Hercule Poirot is recruited to solve the case.","English, French, Arabic, German","United Kingdom, Malta, United States",2 wins & 25 nominations,https://m.media-amazon.com/images/M/MV5BMTk5OGFiYzktMTkwNS00ZjQ5LWFkNGQtNGM0MjA4MWE2MDIwXkEyXkFqcGdeQXVyODY1NDk1NjE@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.5/10'}",52.0,6.5,"273,014",tt3402236,movie,17 Feb 2018,102826543,,,True,['nm0000110'],"['nm0000110', 'nm0004851', 'nm0000353']",55000000.0,1,3,91363238,611028971,2,3,11,432759389,3,251728765
Kingsman: The Golden Circle,2017,R,2017-09-22,141,Action,Matthew Vaughn,"Jane Goldman, Matthew Vaughn, Mark Millar","Taron Egerton, Colin Firth, Mark Strong","After the Kingsman's headquarters is destroyed and the world is held hostage, an allied spy organization in the United States is discovered. These two elite secret agencies must band together to defeat a common enemy.","English, Italian, Swedish","United Kingdom, United States",2 wins & 14 nominations,https://m.media-amazon.com/images/M/MV5BMjQ3OTgzMzY4NF5BMl5BanBnXkFtZTgwOTc4OTQyMzI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.7/10'}",44.0,6.7,"349,353",tt4649466,movie,28 Nov 2017,100234838,,,True,['nm0891216'],"['nm5473782', 'nm0000147', 'nm0835016']",104000000.0,1,3,304150957,658884602,1,9,15,322741332,3,128261724
